title,rating,reviews_count,type_ins
Machine Learning,4.739922694643843,12677,University
Indigenous Canada,4.816438356164384,1460,University
The Science of Well-Being,4.929503597999756,8199,University
Technical Support Fundamentals,4.76748237245956,12055,Other
Become a CBRS Certified Professional Installer by Google,4.818181818181818,33,Other
Financial Markets,4.811454311454312,3108,University
Introduction to Psychology,4.852736318407961,3015,University
Programming for Everybody (Getting Started with Python),4.583672665177985,15226,University
The Bits and Bytes of Computer Networking,4.628921670475795,4813,Other
AI For Everyone,4.845112374763065,7386,Other
Crash Course on Python,4.7251624883936865,3231,Other
Psychological First Aid,4.841421736158578,2926,University
Neural Networks and Deep Learning,4.77123332248617,12292,Other
What is Data Science?,4.622820062187373,7397,Other
Successful Negotiation: Essential Strategies and Skills,4.805507145346811,2869,University
Fundamentals of Project Planning and Management,4.764134275618375,1132,University
Project Launch,4.361111111111111,36,University
"Brand Management: Aligning Business, Brand and Behaviour",4.8964252978918426,1091,Other
Writing in the Sciences,4.919129082426127,1286,University
Stanford Introduction to Food and Health,4.693655589123867,4965,University
"HTML, CSS, and Javascript for Web Developers",4.758631512868801,3186,University
Excel Skills for Business: Essentials,4.888301477565406,7377,University
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.883429672447013,1038,University
"Everyday Excel, Part 1",4.755775577557756,303,University
Learning How to Learn: Powerful mental tools to help you master tough subjects,4.801196192401651,11871,University
Google Cloud Platform Fundamentals: Core Infrastructure,4.694018534119629,5935,Other
Viral Marketing and How to Craft Contagious Content,4.7544128933231,1303,University
Python Data Structures,4.849851164419541,11422,University
Private Equity and Venture Capital,4.762250453720508,1102,University
First Step Korean,4.869848156182212,5993,University
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.650616332819722,2596,Other
Operating Systems and You: Becoming a Power User,4.503410641200546,2199,Other
Tools for Data Science,4.012816072047108,2887,Other
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.801784266017843,6165,Other
Diversity and inclusion in the workplace,4.658333333333333,120,Other
Design and Interpretation of Clinical Trials,4.736730360934183,471,University
Visual Elements of User Interface Design,4.6,760,Institute
Management of Fashion and Luxury Companies,4.7112970711297075,956,University
Primeros Auxilios Psicológicos (PAP),4.870596959584724,2697,University
Social Psychology,4.83453237410072,1251,University
Initiating and Planning Projects,4.714285714285714,2961,University
Computational Thinking for Problem Solving,4.625482625482626,259,University
Agile with Atlassian Jira,4.663421418636996,719,Other
Fundamentals of Graphic Design,4.779751332149201,2815,Institute
Introduction to User Experience Design,4.4774774774774775,777,Institute
Introduction to Marketing,4.746014877789586,1882,University
Python for Data Science and AI,4.291478260869566,2875,Other
Marketing Analytics,4.660468319559229,1452,University
Natural Language Processing with Classification and Vector Spaces,4.402439024390244,328,Other
Fundamentals of Quantitative Modeling,4.537007874015748,1270,University
How to Manage a Remote Team,5.0,5,Other
Mathematics for Machine Learning: Linear Algebra,4.57273280584297,1643,University
Introduction to Data Science in Python,4.234324104234528,4912,University
Customer Analytics,4.451518119490696,2042,University
Introduction to Psychology,4.8815566835871405,1182,University
English for Career Development,4.865221808330511,2953,University
Global Diplomacy – Diplomacy in the Modern World,4.639322916666667,768,University
SQL for Data Science,4.494867639113992,1851,University
Write Professional Emails in English,4.801294498381877,3090,Institute
Medical Neuroscience,4.904135338345864,532,University
System Administration and IT Infrastructure Services,4.657158529895776,1823,Other
International Women's Health and Human Rights,4.884297520661157,242,University
Child Nutrition and Cooking,4.770538243626063,2118,University
Understanding the Brain: The Neurobiology of Everyday Life,4.897435897435898,507,University
Introduction to Social Media Marketing,4.8125,48,Other
Forensic Accounting and Fraud Examination,4.701030927835052,873,University
Clinical Terminology for International and U.S. Students,4.815461346633416,401,University
Science of Exercise,4.836016096579477,994,University
Digital Product Management: Modern Fundamentals,4.727395411605938,741,University
Data Science Math Skills,4.449943117178612,1758,University
Structuring Machine Learning Projects,4.7074718526100305,4885,Other
An Introduction to American Law,4.835374149659864,735,University
The Strategy of Content Marketing,4.4655172413793105,812,University
Introduction to Cybersecurity Tools & Cyber Attacks,4.274461028192372,1206,Other
The Data Scientist’s Toolbox,4.4799070076386585,6022,University
Animal Behaviour and Welfare,4.8075,800,University
Convolutional Neural Networks in TensorFlow,4.469640644361834,807,Other
Positive Psychology: Martin E. P. Seligman’s Visionary Science,4.86144578313253,1328,University
Introduction to the Biology of Cancer,4.803427419354839,992,University
Convolutional Neural Networks,3.8553750966744005,1293,Other
Using Python to Access Web Data,4.714109483423284,6485,University
Introductory Human Physiology,4.780250347705146,719,University
Introduction to Systematic Review and Meta-Analysis,4.774250440917108,567,University
Communication Strategies for a Virtual Age,4.847319347319347,858,University
Moral Foundations of Politics,4.871060171919771,698,University
Étudier en France: French Intermediate course B1-B2,4.845121951219512,820,Other
Managing the Company of the Future,4.842298288508557,818,Other
Finance for Non-Finance Professionals,4.814516129032258,372,University
Site Reliability Engineering: Measuring and Managing Reliability,4.163265306122449,147,Other
Autism Spectrum Disorder,4.634854771784233,482,University
Data Science Methodology,4.338389731621937,1714,Other
Introduction to Financial Accounting,4.755240027045301,1479,University
Marketing in a Digital World,4.725449335764522,3839,University
Wind Energy,4.717252396166134,1252,University
Principles of Sustainable Finance,4.833333333333333,48,University
Financial Engineering and Risk Management Part I,4.365196078431373,408,University
Introduction to Philosophy,4.698874917273329,1511,University
Business Metrics for Data-Driven Companies,4.5539617486338795,1464,University
Python Basics,4.794927853082641,2287,University
Introduction to Sustainability,4.769771528998243,569,University
