title,num_subscribers,course_type,level,subject,language,subtitles,price,type_ins,duration_interval
How to Learn Online,124980,Self-paced on your time,Introductory,Education & Teacher Training,English,English,49.0,Other,0-10h
Programming for Everybody (Getting Started with Python),293864,Self-paced on your time,Introductory,Computer Science,English,English,49.0,University,20-30h
CS50's Introduction to Computer Science,2442271,Self-paced on your time,Introductory,Computer Science,English,English,90.0,University,80h+
The Analytics Edge,129555,Instructor-led on a course schedule,Intermediate,Data Analysis & Statistics,English,English,199.0,Institute,80h+
Marketing Analytics: Marketing Measurement Strategy,81140,Self-paced on your time,Introductory,Computer Science,English,English,249.0,University,20-30h
Introduction to Project Management,301793,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,10-20h
Leading High-Performing Teams,32847,Self-paced on your time,Intermediate,Communication,English,English,5.0,University,80h+
The Foundations of Happiness at Work,67073,Self-paced on your time,Introductory,Business & Management,English,English,199.0,University,10-20h
"Managing Study, Stress and Mental Health at University",23061,Self-paced on your time,Introductory,Health & Safety,English,English,49.0,University,0-10h
Six Sigma: Define and Measure,92411,Self-paced on your time,Introductory,Business & Management,English,English,99.0,University,20-30h
Fat Chance: Probability from the Ground Up,66835,Self-paced on your time,Introductory,Math,English,English,49.0,University,20-30h
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced on your time,Introductory,Communication,English,English,49.0,University,20-30h
Bitcoin and Cryptocurrencies,83398,Self-paced on your time,Introductory,Computer Science,English,English,99.0,University,20-30h
English Grammar and Style,0,Instructor-led on a course schedule,Introductory,Humanities,English,English,99.0,University,20-30h
Ethics in Action,6366,Self-paced on your time,Intermediate,Ethics,English,"English, Español, Русский",49.0,Other,30-40h
Introduction to FinTech,72767,Self-paced on your time,Introductory,Economics & Finance,English,"English, 中文, 中文",199.0,University,10-20h
Data Science: R Basics,528782,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,49.0,University,10-20h
Python Basics for Data Science,228809,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,39.0,Other,10-20h
The Science of Beer,39085,Self-paced on your time,Introductory,Food & Nutrition,English,English,49.0,University,10-20h
Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Advanced,Business & Management,English,English,399.0,University,30-40h
CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Introductory,Computer Science,English,English,199.0,University,80h+
CS50's Introduction to Game Development,346748,Self-paced on your time,Intermediate,Computer Science,English,English,149.0,University,80h+
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced on your time,Introductory,Humanities,English,English,99.0,University,20-30h
CS50's Web Programming with Python and JavaScript,698950,Self-paced on your time,Intermediate,Computer Science,English,English,90.0,University,80h+
Contract Law: From Trust to Promise to Contract,414181,Self-paced on your time,Intermediate,Business & Management,English,English,125.0,University,30-40h
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced on your time,Introductory,Biology & Life Sciences,English,English,99.0,University,20-30h
Justice,392588,Self-paced on your time,Introductory,Humanities,English,"Deutsch, English, Español, Português, 中文",99.0,University,50-60h
Data Science: Machine Learning,276209,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,49.0,University,20-30h
Child Protection: Children's Rights in Theory and Practice,212453,Self-paced on your time,Introductory,Social Sciences,English,English,99.0,University,60-70h
IELTS Academic Test Preparation,1103777,Self-paced on your time,Introductory,Communication,English,English,99.0,University,60-70h
The Architectural Imagination,406181,Self-paced on your time,Introductory,Architecture,English,English,99.0,University,40-50h
TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced on your time,Introductory,Communication,English,English,49.0,Other,10-20h
Principles of Biochemistry,257600,Self-paced on your time,Intermediate,Medicine,English,English,199.0,University,70-80h
Using Python for Research,262183,Self-paced on your time,Intermediate,Computer Science,English,English,99.0,University,30-40h
Hinduism Through Its Scriptures,140782,Self-paced on your time,Introductory,Humanities,English,English,99.0,University,30-40h
Basic Spanish 1: Getting Started,400169,Self-paced on your time,Introductory,Communication,English,"English, Español",40.0,University,30-40h
The Health Effects of Climate Change,110024,Self-paced on your time,Introductory,Environmental Studies,English,English,99.0,University,20-30h
Inglés básico: conversacional y networking,79671,Self-paced on your time,Introductory,Business & Management,Español,"English, Español",49.0,University,20-30h
Statistics and R,314586,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,English,249.0,University,10-20h
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced on your time,Introductory,Chemistry,English,English,199.0,University,40-50h
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced on your time,Introductory,Art & Culture,English,English,99.0,University,20-30h
"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced on your time,Introductory,Social Sciences,English,English,25.0,University,0-10h
Excel: Fundamentos y herramientas,284279,Self-paced on your time,Introductory,Computer Science,Español,Español,50.0,University,20-30h
Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Introductory,Social Sciences,English,English,49.0,University,10-20h
Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Intermediate,Social Sciences,English,English,99.0,University,30-40h
CS50 for Lawyers,87336,Self-paced on your time,Introductory,Computer Science,English,English,99.0,University,40-50h
Data Science: Visualization,171258,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,49.0,University,10-20h
Christianity Through Its Scriptures,125051,Self-paced on your time,Introductory,Humanities,English,English,99.0,University,30-40h
The Science of Happiness,475614,Self-paced on your time,Introductory,Social Sciences,English,English,169.0,University,40-50h
Leaders of Learning,231131,Self-paced on your time,Introductory,Communication,English,"English, Español",99.0,University,30-40h
Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Introductory,Business & Management,English,English,99.0,University,10-20h
Data Science: Probability,135859,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,49.0,University,10-20h
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced on your time,Intermediate,Education & Teacher Training,English,"English, Español",70.0,University,10-20h
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced on your time,Introductory,Medicine,English,English,99.0,University,20-30h
Introduction to Family Engagement in Education,105146,Self-paced on your time,Introductory,Education & Teacher Training,English,English,70.0,University,10-20h
Italian Language and Culture: Beginner (2019-2020),182462,Self-paced on your time,Introductory,Language,Italiano,Italiano,49.0,University,40-50h
Steps in Japanese for Beginners1 Part1,53630,Self-paced on your time,Introductory,Language,English,"English, 日本語",49.0,University,20-30h
How to Write an Essay,306787,Self-paced on your time,Introductory,Humanities,English,English,49.0,University,20-30h
Energy Within Environmental Constraints,95324,Self-paced on your time,Introductory,Environmental Studies,English,English,99.0,University,40-50h
Introduction to Probability,97291,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,English,99.0,University,70-80h
AnatomyX: Musculoskeletal Cases,102075,Self-paced on your time,Intermediate,Medicine,English,English,99.0,University,30-40h
Data Science: Inference and Modeling,88256,Self-paced on your time,Introductory,Data Analysis & Statistics,English,English,49.0,University,10-20h
Strengthening Community Health Worker Programs,58626,Self-paced on your time,Introductory,Health & Safety,English,English,79.0,University,10-20h
Buddhism Through Its Scriptures,182295,Self-paced on your time,Introductory,Humanities,English,English,99.0,University,30-40h
Introduction to Linux,642088,Self-paced on your time,Introductory,Computer Science,English,English,199.0,Other,80h+
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Self-paced on your time,Introductory,Medicine,English,English,99.0,University,10-20h
Shakespeare's Life and Work,48938,Self-paced on your time,Introductory,Humanities,English,English,49.0,University,20-30h
