course_title,is_paid,price,num_subscribers,num_reviews,level,published_timestamp,subject,duration_interval
Ultimate Investment Banking Course,1,200,2147,23,All Levels,2017-01-18T20:58:58Z,Business Finance,0-10h
Complete GST Course & Certification - Grow Your CA Practice,1,75,2792,923,All Levels,2017-03-09T16:34:20Z,Business Finance,30-40h
Financial Modeling for Business Analysts and Consultants,1,45,2174,74,Intermediate,2016-12-19T19:26:30Z,Business Finance,0-10h
Beginner to Pro - Financial Analysis in Excel 2017,1,95,2451,11,All Levels,2017-05-30T20:07:24Z,Business Finance,0-10h
How To Maximize Your Profits Trading Options,1,200,1276,45,Intermediate,2016-12-13T14:57:18Z,Business Finance,0-10h
Trading Penny Stocks: A Guide for All Levels In 2017,1,150,9221,138,All Levels,2014-05-02T15:13:30Z,Business Finance,0-10h
Investing And Trading For Beginners: Mastering Price Charts,1,65,1540,178,Introductory,2016-02-21T18:23:12Z,Business Finance,0-10h
"Trading Stock Chart Patterns For Immediate, Explosive Gains",1,95,2917,148,All Levels,2015-01-30T22:13:03Z,Business Finance,0-10h
Options Trading 3 : Advanced Stock Profit and Success Method,1,195,5172,34,Advanced,2015-05-28T00:14:03Z,Business Finance,0-10h
The Only Investment Strategy You Need For Your Retirement,1,200,827,14,All Levels,2017-04-18T18:13:32Z,Business Finance,0-10h
Forex Trading Secrets of the Pros With Amazon's AWS,1,200,4284,93,All Levels,2015-09-11T16:47:02Z,Business Finance,0-10h
Trading Options With Money Flow,1,200,1380,42,All Levels,2016-10-18T22:52:31Z,Business Finance,0-10h
Financial Management Risk and Return For Securities,1,30,3607,21,All Levels,2016-02-03T18:04:01Z,Business Finance,0-10h
Forex Trading Course: Work Smarter Not Harder Proven Results,1,195,4061,52,All Levels,2016-03-16T15:40:19Z,Business Finance,0-10h
Python Algo Trading: Sentiment Trading with News,1,200,294,19,All Levels,2017-04-28T16:41:44Z,Business Finance,0-10h
Short Selling: Learn To Sell Stocks Before The Fall,1,75,2276,106,Intermediate,2015-06-22T21:18:35Z,Business Finance,0-10h
Basic Technical Analysis: Learn the structure of the market,1,20,4919,79,Introductory,2016-01-08T17:21:26Z,Business Finance,0-10h
The Complete Chart Pattern Trading Course: A Proven Approach,1,200,2666,115,All Levels,2015-08-10T21:07:35Z,Business Finance,0-10h
7 Deadly Mistakes of Investing that Will Slash Your Profits!,1,50,5354,24,All Levels,2015-09-21T18:10:34Z,Business Finance,0-10h
Financial Statements Made Easy,1,95,8095,249,Introductory,2013-06-09T00:21:26Z,Business Finance,0-10h
Winning Forex Trading with Live Forex Trading Examples,1,200,809,3,All Levels,2017-06-06T02:54:04Z,Business Finance,0-10h
Forex Traders - Create Your First Trading Robot. No Coding!,1,200,2295,84,All Levels,2016-05-02T19:26:48Z,Business Finance,0-10h
Create A Business From Home Trading Stocks Today In 2017,1,75,10149,83,All Levels,2015-05-26T17:25:46Z,Business Finance,0-10h
Introduction to Accounting : Mastering Financial Statements,1,50,1916,38,Introductory,2016-12-05T22:14:17Z,Business Finance,0-10h
The Complete Ethereum Course: Get .01 Ether In Your Wallet,1,45,2507,333,All Levels,2016-05-30T18:53:46Z,Business Finance,0-10h
Beginner to Pro in PowerPoint: Complete PowerPoint Training,1,150,5786,518,All Levels,2015-01-31T15:34:05Z,Business Finance,0-10h
Investing 101: The Complete Online Investing Course,1,200,5334,373,All Levels,2014-11-28T17:49:03Z,Business Finance,0-10h
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,1,175,4005,237,Intermediate,2015-04-12T20:13:47Z,Business Finance,0-10h
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),1,150,2877,103,All Levels,2016-04-26T22:41:46Z,Business Finance,0-10h
Forex Trading: Your Complete Guide to Get Started Like a Pro,1,140,1026,25,Introductory,2017-06-27T22:21:31Z,Business Finance,0-10h
Python Algo Stock Trading: Automate Your Trading!,1,95,1165,21,Introductory,2017-05-28T23:41:03Z,Business Finance,0-10h
THE Forex Robot: Incredible ROI (Robot Included),1,200,1843,171,All Levels,2016-10-04T15:20:57Z,Business Finance,0-10h
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,1,45,8797,449,All Levels,2015-01-09T03:55:15Z,Business Finance,0-10h
